,precision,recall,f1-score,support
Outros,0.0,0.0,0.0,90.0
1,0.20754716981132076,0.8461538461538461,0.3333333333333333,13.0
2,0.13636363636363635,0.25,0.17647058823529413,12.0
3,0.1509433962264151,0.6153846153846154,0.24242424242424243,13.0
accuracy,0.171875,0.171875,0.171875,0.171875
macro avg,0.12371355060034306,0.4278846153846154,0.18805704099821746,128.0
weighted avg,0.049193289022298456,0.171875,0.0750194964349376,128.0
