,precision,recall,f1-score,support
Outros,0.0,0.0,0.0,90.0
1,0.20833333333333334,0.7692307692307693,0.32786885245901637,13.0
2,0.17857142857142858,0.4166666666666667,0.25,12.0
3,0.17307692307692307,0.6923076923076923,0.27692307692307694,13.0
accuracy,0.1875,0.1875,0.1875,0.1875
macro avg,0.13999542124542125,0.46955128205128205,0.2136979823455233,128.0
weighted avg,0.055478050595238096,0.1875,0.08486168032786885,128.0
