,precision,recall,f1-score,support
Outros,0.8913043478260869,0.9111111111111111,0.9010989010989011,90.0
1,0.6666666666666666,0.7692307692307693,0.7142857142857143,13.0
2,0.875,0.5833333333333334,0.7,12.0
3,0.6923076923076923,0.6923076923076923,0.6923076923076923,13.0
accuracy,0.84375,0.84375,0.84375,0.84375
macro avg,0.7813196767001114,0.7389957264957265,0.7519230769230769,128.0
weighted avg,0.8467504528985508,0.84375,0.8420673076923078,128.0
