,precision,recall,f1-score,support
Outros,0.9302325581395349,0.8888888888888888,0.9090909090909091,90.0
1,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
2,0.8571428571428571,1.0,0.9230769230769231,12.0
3,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
accuracy,0.859375,0.859375,0.859375,0.859375
macro avg,0.7682724252491694,0.8183760683760684,0.7913752913752913,128.0
weighted avg,0.8650072674418605,0.859375,0.8611596736596737,128.0
