,precision,recall,f1-score,support
Outros,0.8469387755102041,0.9222222222222223,0.8829787234042553,90.0
1,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0
2,1.0,0.5833333333333334,0.7368421052631579,12.0
3,0.9,0.6923076923076923,0.782608695652174,13.0
accuracy,0.828125,0.828125,0.828125,0.828125
macro avg,0.8213500784929356,0.6840811965811966,0.7352227656952813,128.0
weighted avg,0.8353475765306123,0.828125,0.8240945579142119,128.0
