,precision,recall,f1-score,support
Outros,0.9195402298850575,0.8888888888888888,0.903954802259887,90.0
1,0.5714285714285714,0.9230769230769231,0.7058823529411765,13.0
2,0.75,0.5,0.6,12.0
3,0.75,0.6923076923076923,0.72,13.0
accuracy,0.8359375,0.8359375,0.8359375,0.8359375
macro avg,0.7477422003284072,0.7510683760683761,0.7324592888002659,128.0
weighted avg,0.8510718134236454,0.8359375,0.8366593968095712,128.0
