,precision,recall,f1-score,support
Outros,0.896551724137931,0.8666666666666667,0.8813559322033898,90.0
1,0.5,0.6923076923076923,0.5806451612903226,13.0
2,0.8461538461538461,0.9166666666666666,0.88,12.0
3,0.9,0.6923076923076923,0.782608695652174,13.0
accuracy,0.8359375,0.8359375,0.8359375,0.8359375
macro avg,0.7856763925729443,0.7919871794871796,0.7811524472864716,128.0
weighted avg,0.8519023541114058,0.8359375,0.8406588596762308,128.0
